"host_response_time","host_acceptance_rate","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_since_days","log_price"
"within an hour",100,"t",14,"t","t","Honolulu","Entire home/apt",8,1,2,3,250,30,1125,30,30,1125,1125,30,1125,21,46,76,317,24,5,0,97,10,9,10,10,10,10,"t",11,11,0,0,0.43,4056,5.52146091786225
"N/A",100,"f",2,"t","t","Hawaii","Entire home/apt",4,1,1,0,169,7,120,7,7,120,120,7,120,0,10,40,130,7,1,0,77,7,6,9,8,10,8,"f",1,1,0,0,0.15,4056,5.12989871492307
"within an hour",100,"t",8,"t","f","Maui","Private room",2,1,1,2,170,3,90,1,3,90,90,2.9,90,30,51,66,319,101,13,0,97,10,10,10,10,10,10,"t",7,1,6,0,2.09,4054,5.13579843705026
"within an hour",99,"t",2,"t","t","Hawaii","Entire home/apt",2,1,1,1,133.29,3,30,3,3,1125,1125,3,1125,13,17,25,195,130,12,0,97,10,10,10,10,10,10,"t",2,2,0,0,1.03,4054,4.89252720561593
"within a day",84,"f",2,"t","f","Maui","Entire home/apt",4,1,1,1,100,2,730,2,2,730,730,2,730,15,19,41,273,127,9,0,95,10,9,10,10,10,10,"f",1,1,0,0,1.02,4052,4.60517018598809
"within an hour",99,"t",22,"t","f","Maui","Entire home/apt",4,1,1,2,316,7,7,6,7,7,7,7,7,3,7,13,27,12,0,0,93,9,10,9,10,10,10,"t",15,14,1,0,0.31,4050,5.75574221358691
"within an hour",100,"f",6,"t","t","Hawaii","Entire home/apt",6,1,2,3,75,3,40,3,3,1125,1125,3,1125,9,29,51,309,108,15,0,88,9,8,10,10,9,9,"t",5,5,0,0,1.49,4050,4.31748811353631
"within an hour",100,"f",6,"t","t","Hawaii","Entire home/apt",3,1,NA,2,55,3,40,3,3,1125,1125,3,1125,15,35,56,322,140,15,0,91,10,9,9,9,9,9,"t",5,5,0,0,1.95,4050,4.00733318523247
"within a day",94,"f",1,"t","t","Hawaii","Entire home/apt",13,2,3,9,123,1,179,1,2,1125,1125,1.3,1125,30,60,80,355,42,7,0,94,10,10,10,10,10,9,"f",1,1,0,0,0.8,4050,4.81218435537242
"within an hour",100,"f",4,"t","t","Kauai","Entire home/apt",6,2,2,4,399,3,365,3,3,365,365,3,365,4,25,41,271,4,0,0,95,10,10,10,10,10,10,"t",4,4,0,0,0.04,4055,5.98896141688986
"within an hour",100,"f",4,"t","t","Kauai","Entire home/apt",6,2,2,4,399,3,730,3,3,730,730,3,730,4,30,46,276,8,2,0,94,10,9,10,10,10,9,"t",4,4,0,0,0.07,4055,5.98896141688986
"within an hour",100,"f",4,"t","t","Kauai","Entire home/apt",4,1,2,2,399,3,365,3,3,365,365,3,365,30,47,73,300,26,5,0,93,10,10,10,10,10,9,"f",4,4,0,0,0.26,4055,5.98896141688986
"within an hour",100,"f",3,"t","t","Hawaii","Entire home/apt",2,1,1,2,110,5,1125,5,5,1125,1125,5,1125,6,34,34,226,63,1,0,97,10,10,10,10,9,10,"f",3,3,0,0,0.54,4271,4.70048036579242
"within an hour",65,"f",2,"t","t","Maui","Entire home/apt",3,1,1,2,90,3,30,3,3,30,30,3,30,17,37,57,314,202,17,0,90,10,9,10,10,10,9,"f",1,1,0,0,1.65,4027,4.49980967033027
"within a day",100,"t",1,"t","f","Maui","Entire home/apt",4,1,2,3,128,5,180,5,5,1125,1125,5,1125,15,35,41,178,65,2,0,95,10,10,10,10,10,10,"t",1,1,0,0,0.6,4011,4.85203026391962
"within an hour",100,"f",5,"t","f","Honolulu","Entire home/apt",5,1,1,1,145,14,365,14,14,365,365,14,365,0,0,0,243,72,6,0,96,10,9,10,10,10,9,"f",5,5,0,0,0.59,3988,4.97673374242057
"within an hour",100,"f",5,"t","f","Honolulu","Entire home/apt",5,1,1,1,147,7,365,7,7,1125,1125,7,1125,11,11,22,297,69,4,0,97,10,9,9,10,10,10,"t",5,5,0,0,0.56,3988,4.99043258677874
"within a few hours",80,"f",4,"t","f","Hawaii","Entire home/apt",2,1,1,1,95,30,1125,30,30,1125,1125,30,1125,1,1,1,1,50,3,0,96,10,10,10,10,9,10,"f",6,6,0,0,0.41,4053,4.55387689160054
"within an hour",92,"t",6,"t","t","Honolulu","Entire home/apt",4,1,NA,2,59,1,120,1,2,120,120,1,120,3,3,3,3,12,8,0,97,10,10,10,10,10,10,"t",6,6,0,0,0.17,3970,4.07753744390572
"within an hour",98,"t",2,"t","f","Honolulu","Entire home/apt",7,2,3,3,411,4,120,3,4,1125,1125,4,1125,1,3,10,214,33,8,0,99,10,10,10,10,10,10,"t",1,1,0,0,0.43,3932,6.01859321449623
"within a day",76,"f",0,"t","t","Hawaii","Entire home/apt",4,1,2,4,95,3,15,3,3,15,15,3,15,27,57,73,345,287,10,0,94,10,9,10,10,10,10,"f",2,1,1,0,2.29,3929,4.55387689160054
"within a day",76,"f",0,"t","t","Hawaii","Private room",2,1,1,1,58,3,10,3,3,10,10,3,10,30,60,90,365,146,3,0,92,10,9,10,10,9,10,"f",2,1,1,0,1.14,3929,4.06044301054642
"within an hour",100,"t",1,"t","t","Maui","Entire home/apt",4,1,1,2,149,2,90,2,2,1125,1125,2,1125,0,18,25,225,266,13,0,97,10,10,10,10,10,10,"t",1,1,0,0,2.14,3920,5.00394630594546
"within an hour",100,"t",4,"t","t","Maui","Entire home/apt",2,1,2,2,169,4,90,4,4,90,90,4,90,19,41,41,41,176,12,0,99,10,10,10,10,10,10,"f",4,4,0,0,2.25,3884,5.12989871492307
"within a few hours",100,"t",2,"t","t","Hawaii","Hotel room",2,1,1,1,150,1,30,1,2,1125,1125,1.4,1125,30,60,90,365,47,11,0,97,10,10,10,10,10,10,"t",2,0,0,0,1.1,3876,5.01063529409626
"N/A",67,"f",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,130,3,30,3,3,30,30,3,30,30,60,90,365,16,1,0,96,10,10,10,10,10,10,"f",3,3,0,0,0.19,3873,4.86753445045558
"within an hour",100,"t",1,"t","t","Maui","Entire home/apt",2,1,NA,2,165,5,1125,5,5,1125,1125,5,1125,1,1,1,1,150,7,0,92,10,9,10,9,10,9,"f",1,1,0,0,1.72,3862,5.10594547390058
"within an hour",99,"f",3,"t","f","Maui","Entire home/apt",6,2,2,3,220,2,730,2,2,1125,1125,2,1125,30,48,67,213,25,8,0,88,9,8,10,10,10,9,"t",3,3,0,0,0.4,3861,5.39362754635236
"within a few hours",78,"t",1,"t","t","Hawaii","Entire home/apt",7,2,3,3,349,1,365,1,5,365,365,1.2,365,14,26,37,225,89,11,1,97,10,10,10,10,10,10,"f",1,1,0,0,0.85,3831,5.85507192220243
"within a few hours",76,"t",4,"t","t","Hawaii","Private room",2,1,1,1,114,1,30,1,1,30,30,1,30,0,0,0,0,271,21,1,100,10,10,10,10,10,10,"f",3,0,3,0,2.26,3819,4.7361984483945
"N/A",86,"f",1,"t","t","Hawaii","Entire home/apt",2,1,NA,1,118,1,28,1,7,28,28,1.3,28,9,39,69,344,163,8,0,92,10,9,10,10,10,9,"f",1,1,0,0,1.48,3818,4.77068462446567
"within a few hours",96,"t",4,"t","t","Honolulu","Entire home/apt",3,1,NA,1,125,4,180,4,4,180,180,4,180,21,51,75,238,217,11,0,96,10,10,10,10,10,10,"t",3,3,0,0,1.76,3949,4.8283137373023
"within an hour",97,"t",3,"t","t","Honolulu","Private room",2,1,1,2,193,2,30,2,2,30,30,2,30,12,27,40,293,286,24,0,97,10,10,10,10,10,9,"f",2,1,1,0,2.33,3811,5.26269018890489
"within a few hours",100,"t",2,"t","t","Hawaii","Entire home/apt",4,1,1,2,90,3,7,3,3,7,7,3,7,30,60,89,89,235,20,0,98,10,10,10,10,10,10,"f",1,1,0,0,1.89,3808,4.49980967033027
"within an hour",100,"f",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,113,30,90,7,30,90,90,24.2,90,0,0,0,188,116,0,0,97,10,10,10,10,9,10,"f",3,3,0,0,0.94,4271,4.72738781871234
"within a few hours",67,"f",1,"t","t","Maui","Entire home/apt",4,1,2,3,275,7,730,7,7,730,730,7,730,0,1,2,191,31,1,0,97,10,10,10,10,9,10,"f",1,1,0,0,0.3,3805,5.61677109766657
"within an hour",100,"f",1,"t","t","Maui","Entire home/apt",4,1,1,1,126,4,730,2,4,730,730,4,730,25,36,38,252,68,2,0,97,10,10,10,10,10,10,"f",1,1,0,0,0.59,3803,4.83628190695148
"within an hour",99,"t",5,"t","t","Maui","Entire home/apt",4,1,1,2,174,3,365,3,3,365,365,3,365,30,47,77,331,127,9,0,97,10,10,10,10,10,10,"f",5,5,0,0,1.09,3772,5.15905529921453
"within an hour",99,"t",5,"t","t","Maui","Entire home/apt",6,2,2,3,250,2,365,2,2,365,365,2,365,0,2,25,300,163,10,0,92,10,10,10,10,10,10,"f",5,5,0,0,1.4,3772,5.52146091786225
"within an hour",100,"t",1,"t","t","Hawaii","Entire home/apt",2,1,1,1,239,2,7,2,2,1125,1125,2,1125,26,40,61,317,448,34,0,98,10,10,10,10,10,9,"t",1,1,0,0,3.99,3749,5.47646355193151
"within a few hours",82,"f",3,"t","t","Kauai","Entire home/apt",4,2,1,2,299,4,30,4,4,30,30,4,30,20,46,75,341,82,10,0,98,10,10,10,10,10,10,"f",1,1,0,0,0.85,3735,5.70044357339069
"within a few hours",96,"f",1,"t","f","Honolulu","Entire home/apt",6,1,2,2,125,30,90,30,30,90,90,30,90,30,38,43,307,48,13,0,92,10,9,10,10,9,9,"f",1,1,0,0,0.44,3721,4.8283137373023
"within an hour",98,"t",3,"t","t","Hawaii","Entire home/apt",6,2,3,3,160,3,730,3,3,1125,1125,3,1125,30,44,62,272,30,7,0,99,10,10,10,10,10,10,"t",3,3,0,0,0.39,3714,5.07517381523383
"within a few hours",97,"t",0,"t","t","Kauai","Entire home/apt",12,5,5,6,695,2,60,2,2,60,60,2,60,5,19,21,147,29,5,0,99,10,10,10,10,10,10,"f",4,4,0,0,0.24,3714,6.54391184556479
"within an hour",98,"t",3,"t","t","Hawaii","Entire home/apt",6,1,3,4,150,3,730,3,3,1125,1125,3,1125,5,12,12,265,82,7,0,98,10,10,10,10,10,10,"t",3,3,0,0,0.69,3714,5.01063529409626
"within an hour",98,"t",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,150,3,730,3,3,1125,1125,3,1125,25,49,54,312,56,21,1,99,10,10,10,10,10,10,"t",3,3,0,0,0.8,3714,5.01063529409626
"within a few hours",80,"f",4,"t","f","Hawaii","Entire home/apt",2,1,2,1,95,180,730,180,180,730,730,180,730,7,37,67,342,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",6,6,0,0,NA,4053,4.55387689160054
"within a few hours",100,"f",4,"t","t","Hawaii","Entire home/apt",4,1,1,2,112,3,180,3,3,180,180,3,180,30,60,90,365,14,0,0,97,10,10,10,10,9,9,"t",1,1,0,0,0.15,3375,4.71849887129509
"within an hour",98,"f",2,"t","t","Honolulu","Entire home/apt",6,2,2,3,192,30,1125,30,30,1125,1125,30,1125,2,2,2,2,302,13,0,92,9,9,10,10,10,9,"t",3,3,0,0,2.58,2574,5.25749537202778
"within an hour",89,"f",12,"t","t","Kauai","Entire home/apt",8,3,3,3,279,7,365,7,7,365,365,7,365,30,60,81,356,70,8,0,96,10,9,10,9,10,10,"t",1,1,0,0,0.62,3613,5.63121178182137
"within an hour",99,"t",5,"t","t","Maui","Entire home/apt",4,1,1,3,169,2,365,2,2,365,365,2,365,1,1,1,1,181,18,0,94,10,10,10,10,10,9,"f",5,5,0,0,1.55,3772,5.12989871492307
"within a few hours",96,"t",1,"t","t","Honolulu","Entire home/apt",2,1,1,1,99,30,1125,30,30,1125,1125,30,1125,0,0,4,110,93,5,0,97,10,10,10,10,10,10,"f",1,1,0,0,0.83,3586,4.59511985013459
"within an hour",73,"t",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,75,3,365,3,3,365,365,3,365,0,28,34,250,58,7,0,98,10,10,10,10,9,10,"f",2,2,0,0,0.55,3573,4.31748811353631
"N/A",100,"t",3,"t","t","Hawaii","Entire home/apt",5,1,2,6,119,2,14,2,2,14,14,2,14,0,0,0,0,83,14,0,99,10,10,10,10,10,10,"f",2,2,0,0,0.75,3566,4.77912349311153
"within an hour",100,"f",4,"t","t","Kauai","Entire home/apt",4,1,2,2,399,3,730,3,3,730,730,3,730,30,47,73,300,8,0,0,94,9,10,10,10,10,9,"f",4,4,0,0,0.08,4055,5.98896141688986
"within a few hours",100,"t",1,"t","f","Hawaii","Entire home/apt",3,1,1,1,126,2,60,2,2,1125,1125,2,1125,30,53,83,352,252,19,0,98,10,10,10,10,10,10,"f",1,1,0,0,2.19,3562,4.83628190695148
"within a few hours",63,"f",101,"t","t","Maui","Entire home/apt",8,2.5,3,4,253,5,30,5,10,30,30,5.3,30,1,1,1,1,17,0,0,94,10,9,9,9,10,9,"f",65,65,0,0,0.23,3557,5.53338948872752
"N/A",50,"f",2,"t","f","Maui","Entire home/apt",4,1,1,2,221,3,730,2,3,730,730,3,730,30,45,54,237,1,0,0,100,10,10,10,10,10,10,"f",1,1,0,0,0.03,3552,5.39816270151775
"within an hour",97,"t",2,"t","t","Hawaii","Entire home/apt",3,1,1,2,114,2,28,2,2,28,28,2,28,7,23,43,290,143,21,0,98,10,10,10,10,10,10,"t",3,3,0,0,1.26,3548,4.7361984483945
"N/A",0,"f",1,"t","t","Honolulu","Entire home/apt",4,1,1,3,95,3,30,3,3,30,30,3,30,0,0,0,256,69,0,0,85,9,9,10,10,10,9,"f",1,1,0,0,0.6,3547,4.55387689160054
"N/A",42,"f",3,"t","t","Kauai","Private room",4,1,1,2,500,1,14,1,1,14,14,1,14,1,1,1,1,7,1,0,100,10,10,10,10,10,10,"f",2,0,2,0,0.06,3543,6.21460809842219
"N/A",42,"f",3,"t","t","Maui","Private room",4,1,1,1,500,1,14,1,1,14,14,1,14,0,0,0,0,20,0,0,98,8,10,10,10,10,10,"f",2,0,2,0,0.66,3543,6.21460809842219
"within an hour",100,"f",5,"t","f","Honolulu","Entire home/apt",2,1,1,2,85,30,730,30,30,730,730,30,730,0,0,0,0,20,1,0,96,10,10,10,10,10,10,"t",5,5,0,0,0.9,3988,4.44265125649032
"within an hour",100,"f",5,"t","f","Honolulu","Entire home/apt",2,1,NA,2,88,90,365,90,90,1125,1125,90,1125,0,0,30,305,40,0,0,91,9,9,9,9,10,9,"t",5,5,0,0,0.42,3988,4.47733681447821
"within an hour",73,"t",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,89,1,365,1,2,365,365,1,365,11,27,41,316,65,4,0,95,10,10,10,10,10,10,"f",2,2,0,0,0.62,3573,4.48863636973214
"within an hour",100,"t",4,"t","t","Hawaii","Entire home/apt",2,1,1,1,132,1,30,1,2,30,30,1,30,1,3,18,192,188,23,1,98,10,9,10,10,10,10,"t",3,3,0,0,1.64,3679,4.88280192258637
"within a few hours",95,"f",4,"t","t","Hawaii","Entire home/apt",2,1,1,0,115,30,200,30,30,200,200,30,200,0,0,0,232,26,0,0,93,9,9,10,9,10,9,"f",4,4,0,0,0.24,4330,4.74493212836325
"N/A",98,"t",3,"t","t","Kauai","Entire home/apt",4,2,1,1,299,3,365,3,3,365,365,3,365,30,51,67,250,1,0,0,100,10,10,10,10,10,8,"f",1,1,0,0,0.04,3776,5.70044357339069
"within an hour",100,"t",4,"t","t","Kauai","Entire home/apt",2,1,NA,1,130,2,30,2,2,30,30,2,30,18,36,45,79,253,13,0,98,10,10,10,10,10,10,"t",3,3,0,0,2.27,3481,4.86753445045558
"within a few hours",95,"f",4,"t","t","Hawaii","Entire home/apt",4,2,3,0,250,30,200,30,30,200,200,30,200,18,18,18,203,6,3,0,97,10,9,10,10,10,10,"f",4,4,0,0,0.06,4330,5.52146091786225
"within a few hours",96,"t",4,"t","t","Honolulu","Entire home/apt",3,1,NA,1,106,4,365,4,4,365,365,4,365,4,21,47,322,284,14,0,93,10,9,10,10,10,9,"t",3,3,0,0,2.53,3949,4.66343909411207
"within a few hours",94,"f",4,"t","f","Kauai","Entire home/apt",2,1,1,1,88,3,730,3,3,730,730,3,730,8,23,29,259,162,17,0,90,9,9,10,10,10,9,"f",3,3,0,0,1.45,3473,4.47733681447821
"within a few hours",94,"f",4,"t","f","Kauai","Entire home/apt",6,2,2,2,155,3,730,3,3,730,730,3,730,1,5,15,182,105,6,0,93,10,9,10,10,10,9,"f",3,3,0,0,0.94,3473,5.04342511691925
"within a few hours",94,"f",4,"t","f","Kauai","Entire home/apt",8,3,3,3,200,3,730,1,3,730,730,3,730,0,2,4,146,16,0,0,95,10,9,10,10,9,10,"f",3,3,0,0,0.16,3473,5.29831736654804
"within a few hours",88,"f",9,"t","f","Maui","Entire home/apt",6,2,3,4,227,6,730,4,14,730,730,6.1,730,2,7,33,217,33,5,0,97,10,10,10,10,10,9,"f",8,8,0,0,0.49,3463,5.4249500174814
"within a few hours",87,"f",1,"t","t","Kauai","Entire home/apt",5,2,2,3,183,1,30,1,2,30,30,1,30,0,0,0,0,239,18,0,95,10,9,10,10,10,9,"f",1,1,0,0,2.13,3461,5.20948615284142
"within a day",96,"f",91,"t","t","Kauai","Entire home/apt",4,2.5,2,2,318,1,1125,3,11,1125,1125,3.9,1125,1,1,1,1,15,0,0,99,10,10,10,10,10,9,"t",90,89,1,0,0.21,3461,5.76205138278018
"within an hour",94,"f",2,"t","t","Hawaii","Private room",6,1,2,4,59,1,365,1,1,365,365,1,365,30,36,61,336,136,13,0,88,9,8,9,10,9,9,"f",1,0,1,0,1.23,3458,4.07753744390572
"within a few hours",100,"t",1,"t","f","Honolulu","Entire home/apt",8,3,3,5,546,6,90,6,6,365,1125,6,1102.3,19,48,55,280,48,12,1,96,9,10,10,10,10,9,"f",1,1,0,0,0.72,3453,6.30261897574491
"a few days or more",9,"f",14,"t","t","Honolulu","Entire home/apt",7,1,2,5,400,1,365,1,2,365,365,1,365,23,39,55,330,127,1,0,96,10,9,10,10,10,10,"f",9,8,1,0,1.14,3457,5.99146454710798
"within an hour",91,"f",1,"t","f","Hawaii","Entire home/apt",5,1,2,4,95,2,30,2,2,30,30,2,30,1,1,1,1,60,8,1,90,9,9,10,10,10,9,"f",1,1,0,0,1.26,3449,4.55387689160054
"within a few hours",73,"f",1,"f","f","Hawaii","Entire home/apt",2,1,1,2,95,3,60,3,3,60,60,3,60,0,0,0,118,92,6,0,92,9,9,10,10,10,9,"f",1,1,0,0,0.88,2705,4.55387689160054
"within an hour",100,"t",5,"t","t","Hawaii","Entire home/apt",8,2.5,3,4,190,1,365,1,2,365,365,1,365,0,0,0,0,240,18,0,97,10,9,10,10,10,10,"f",2,2,0,0,2.26,3449,5.24702407216049
"N/A",25,"f",1,"t","t","Maui","Private room",4,1,1,3,299,7,7,7,7,7,7,7,7,2,2,2,2,6,1,0,95,10,10,10,10,10,10,"f",1,0,1,0,0.09,3442,5.70044357339069
"within a day",86,"t",4,"t","t","Maui","Entire home/apt",2,1,NA,2,250,5,365,5,5,365,365,5,365,30,60,90,365,44,6,0,95,10,10,10,10,10,9,"t",4,3,1,0,0.39,3464,5.52146091786225
"within a few hours",89,"f",2,"t","f","Hawaii","Entire home/apt",4,2,2,2,144,3,90,3,5,90,90,3.9,90,2,30,30,216,53,2,0,98,10,10,10,10,10,10,"f",2,2,0,0,0.49,3434,4.969813299576
"within a few hours",89,"f",2,"t","f","Hawaii","Entire home/apt",2,1,1,1,124,3,90,3,5,90,90,3.9,90,0,19,38,299,63,5,0,94,10,10,10,10,10,10,"f",2,2,0,0,0.57,3434,4.82028156560504
"N/A",100,"t",1,"t","t","Maui","Entire home/apt",2,1,1,1,204,3,30,3,3,30,30,3,30,29,52,82,181,194,13,0,95,10,10,10,10,10,9,"f",1,1,0,0,1.83,3433,5.31811999384422
"within an hour",98,"f",3,"t","t","Hawaii","Entire home/apt",5,1.5,2,3,306,3,21,3,10,1125,1125,3.5,1125,19,33,38,262,55,16,2,99,10,10,10,10,10,10,"t",3,3,0,0,1.13,3425,5.72358510195238
"within an hour",98,"f",3,"t","t","Hawaii","Entire home/apt",3,1,1,3,130,2,30,2,10,1125,1125,2.4,1125,25,40,41,286,20,7,0,99,10,10,10,10,10,10,"t",3,3,0,0,0.44,3425,4.86753445045558
"within a day",87,"t",3,"t","t","Maui","Entire home/apt",4,1,1,2,250,1,365,1,2,365,365,1,365,0,0,0,218,230,21,0,94,10,10,10,10,10,9,"f",3,3,0,0,2.09,3422,5.52146091786225
"within an hour",100,"t",1,"t","f","Hawaii","Entire home/apt",3,1,1,2,134,2,31,2,2,1125,1125,2,1125,0,0,0,0,230,44,3,95,10,10,10,10,10,10,"t",1,1,0,0,6.07,3418,4.89783979995091
"within an hour",100,"t",1,"t","t","Honolulu","Entire home/apt",4,1,NA,2,105,4,365,4,4,1125,1125,4,1125,0,0,0,121,117,7,0,91,9,9,10,10,10,9,"f",1,1,0,0,1.1,3415,4.65396035015752
"within a day",94,"f",3,"t","t","Honolulu","Entire home/apt",8,2,3,5,296,5,365,5,5,1125,1125,5,1125,21,42,59,289,70,6,0,95,10,9,10,10,10,9,"t",3,3,0,0,0.68,3414,5.69035945432406
"within a day",94,"f",3,"t","t","Honolulu","Entire home/apt",6,2,3,3,296,5,365,5,5,1125,1125,5,1125,10,22,28,222,65,0,0,89,9,8,10,10,9,9,"t",3,3,0,0,0.74,3414,5.69035945432406
"within an hour",100,"t",5,"t","t","Hawaii","Entire home/apt",6,1.5,3,6,98,1,90,1,2,90,90,1,90,0,17,30,233,144,6,0,93,10,10,10,10,9,10,"t",5,5,0,0,1.37,3414,4.58496747867057
"N/A",24,"f",4,"t","t","Maui","Private room",2,1,1,1,179,1,14,2,5,14,14,3.1,14,2,2,2,2,26,1,0,96,10,10,10,10,10,10,"t",4,0,4,0,0.39,3412,5.18738580584075
"within an hour",100,"t",1,"t","t","Hawaii","Entire home/apt",16,4,3,13,369,3,45,3,7,1125,1125,3.6,1125,3,3,3,3,9,3,0,98,9,10,10,10,10,10,"f",1,1,0,0,0.38,3410,5.91079664404053
"within an hour",100,"f",1,"t","f","Hawaii","Entire home/apt",2,1,1,1,109,2,30,2,2,365,365,2,365,18,35,57,329,128,18,0,95,10,10,10,10,10,10,"t",1,1,0,0,1.3,3410,4.69134788222914
"within a few hours",100,"t",2,"t","t","Hawaii","Entire home/apt",6,2,2,2,225,3,365,3,3,1125,1125,3,1125,0,0,0,0,30,4,0,97,10,10,10,10,10,10,"t",1,1,0,0,1.1,3408,5.41610040220442
"within a few hours",100,"t",2,"t","t","Hawaii","Entire home/apt",4,1,NA,2,165,2,365,2,2,1125,1125,2,1125,1,1,1,1,59,0,0,98,10,10,10,10,10,10,"t",2,2,0,0,0.58,3405,5.10594547390058
"within a few hours",100,"t",2,"t","t","Hawaii","Entire home/apt",8,3,3,4,350,5,365,5,5,1125,1125,5,1125,1,1,1,1,32,9,0,99,10,10,10,10,10,10,"t",2,2,0,0,0.32,3405,5.85793315448346
"within an hour",100,"f",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,98,30,120,30,30,120,120,30,120,9,11,11,273,6,1,0,93,10,9,10,10,9,9,"f",3,3,0,0,0.05,4271,4.58496747867057
"within an hour",86,"t",2,"t","t","Hawaii","Entire home/apt",2,1,1,1,100,5,60,5,5,1125,1125,5,1125,0,0,0,120,34,12,0,96,10,10,10,10,9,9,"t",1,1,0,0,0.31,3540,4.60517018598809
"within a few hours",98,"f",2,"t","f","Honolulu","Entire home/apt",4,1,1,2,132,3,30,3,3,1125,1125,3,1125,0,0,0,0,352,22,0,93,10,9,10,10,10,9,"f",2,2,0,0,3.19,3398,4.88280192258637
"within an hour",72,"f",24,"t","t","Maui","Entire home/apt",6,2,2,2,265,1,365,1,2,365,365,1,365,0,26,36,299,117,4,0,92,9,9,9,9,10,9,"f",22,22,0,0,1.08,3391,5.57972982598622
"within a few hours",100,"t",12,"t","t","Hawaii","Private room",2,1,1,1,159,1,365,1,1,365,365,1,365,0,0,14,279,61,0,0,95,10,10,10,10,10,9,"t",12,0,5,0,0.63,3753,5.06890420222023
